categories,percentage
Open Source,0.0069605568445475635
Mobile,0.004640371229698376
Java,0.22505800464037123
Software Engineering,0.03944315545243619
Internet,0.09744779582366589
Web Development,0.04176334106728538
Miscellaneous,0.0069605568445475635
Microsoft .NET,0.08120649651972157
Microsoft,0.02088167053364269
Next Generation Databases,0.004640371229698376
PowerBuilder,0.018561484918793503
Client-Server,0.027842227378190254
Computer Graphics,0.016241299303944315
Object-Oriented Programming,0.01160092807424594
S,0.004640371229698376
Networking,0.018561484918793503
Theory,0.018561484918793503
Programming,0.030162412993039442
Python,0.016241299303944315
Mobile Technology,0.016241299303944315
Business,0.030162412993039442
P,0.004640371229698376
XML,0.01160092807424594
Perl,0.016241299303944315
java,0.004640371229698376
Microsoft/.NET,0.004640371229698376
Miscella,0.004640371229698376
Object-Technology Programming,0.004640371229698376
,0.0069605568445475635
internet,0.004640371229698376
.NET,0.004640371229698376
Algorithmic Art,0.004640371229698376
PHP,0.004640371229698376
SOA,0.004640371229698376
Computer Graph,0.004640371229698376
Client Server,0.004640371229698376
In Action,0.004640371229698376
Software Development,0.004640371229698376
